size:  100 | nOfPuts: 9
size: 18900 | nOfPuts: 16
size: 19000 | nOfPuts: 16
size: 19100 | nOfPuts: 16
size: 19200 | nOfPuts: 18
size: 19300 | nOfPuts: 15
size: 19400 | nOfPuts: 15
size: 19500 | nOfPuts: 17
size: 19600 | nOfPuts: 14
size: 19700 | nOfPuts: 16
size: 19800 | nOfPuts: 16
size: 19900 | nOfPuts: 14
size: 20000 | nOfPuts: 17
size: 20100 | nOfPuts: 17
size: 20200 | nOfPuts: 16
size: 20300 | nOfPuts: 19
size: 20400 | nOfPuts: 15
size: 20500 | nOfPuts: 16
size: 20600 | nOfPuts: 14
size: 20700 | nOfPuts: 16
size: 20800 | nOfPuts: 14
size: 20900 | nOfPuts: 18
size: 21000 | nOfPuts: 16
size: 21100 | nOfPuts: 14
size: 21200 | nOfPuts: 16
size: 21300 | nOfPuts: 18
size: 21400 | nOfPuts: 17
size: 21500 | nOfPuts: 17
size: 21600 | nOfPuts: 17
size: 21700 | nOfPuts: 14
size: 21800 | nOfPuts: 18
size: 21900 | nOfPuts: 16
size: 22000 | nOfPuts: 17
size: 22100 | nOfPuts: 17
size: 22200 | nOfPuts: 14
size: 22300 | nOfPuts: 17
size: 22400 | nOfPuts: 16
size: 22500 | nOfPuts: 16
size: 22600 | nOfPuts: 18
size: 22700 | nOfPuts: 17
size: 22800 | nOfPuts: 16
size: 22900 | nOfPuts: 15
size: 23000 | nOfPuts: 16
size: 23100 | nOfPuts: 15
size: 23200 | nOfPuts: 16
size: 23300 | nOfPuts: 16
size: 23400 | nOfPuts: 15
size: 23500 | nOfPuts: 17
size: 23600 | nOfPuts: 15
size: 23700 | nOfPuts: 16
size: 23800 | nOfPuts: 17
size: 23900 | nOfPuts: 15
size: 24000 | nOfPuts: 16
size: 24100 | nOfPuts: 16
size: 24200 | nOfPuts: 16
size: 24300 | nOfPuts: 16
size: 24400 | nOfPuts: 15
size: 24500 | nOfPuts: 17
size: 24600 | nOfPuts: 16
size: 24700 | nOfPuts: 16
size: 24800 | nOfPuts: 14
size: 24900 | nOfPuts: 19
size: 25000 | nOfPuts: 15
size: 25100 | nOfPuts: 16
size: 25200 | nOfPuts: 14
size: 25300 | nOfPuts: 14
size: 25400 | nOfPuts: 15
size: 25500 | nOfPuts: 16
size: 25600 | nOfPuts: 16
size: 25700 | nOfPuts: 15
size: 25800 | nOfPuts: 18
size: 25900 | nOfPuts: 17
size: 26000 | nOfPuts: 15
size: 26100 | nOfPuts: 17
size: 26200 | nOfPuts: 18
size: 26300 | nOfPuts: 18
size: 26400 | nOfPuts: 16
size: 26500 | nOfPuts: 17
size: 26600 | nOfPuts: 16
size: 26700 | nOfPuts: 16
size: 26800 | nOfPuts: 18
size: 26900 | nOfPuts: 16
size: 27000 | nOfPuts: 17
size: 27100 | nOfPuts: 16
size: 27200 | nOfPuts: 15
size: 27300 | nOfPuts: 18
size: 27400 | nOfPuts: 16
size: 27500 | nOfPuts: 19
size: 27600 | nOfPuts: 14
size: 27700 | nOfPuts: 16
size: 27800 | nOfPuts: 16
size: 27900 | nOfPuts: 16
size: 28000 | nOfPuts: 17
size: 28100 | nOfPuts: 15
size: 28200 | nOfPuts: 17
size: 28300 | nOfPuts: 18
size: 28400 | nOfPuts: 15
size: 28500 | nOfPuts: 17
size: 28600 | nOfPuts: 15
size: 28700 | nOfPuts: 17
size: 28800 | nOfPuts: 17
size: 28900 | nOfPuts: 17
size: 29000 | nOfPuts: 17
size: 29100 | nOfPuts: 14
size: 29200 | nOfPuts: 20
size: 29300 | nOfPuts: 16
size: 29400 | nOfPuts: 18
size: 29500 | nOfPuts: 17
size: 29600 | nOfPuts: 15
size: 29700 | nOfPuts: 15
size: 29800 | nOfPuts: 18
size: 29900 | nOfPuts: 15
size: 30000 | nOfPuts: 16
size: 30100 | nOfPuts: 14
size: 30200 | nOfPuts: 16
size: 30300 | nOfPuts: 15
size: 30400 | nOfPuts: 17
size: 30500 | nOfPuts: 15
size: 30600 | nOfPuts: 18
size: 30700 | nOfPuts: 17
size: 30800 | nOfPuts: 16
size: 30900 | nOfPuts: 15
size: 31000 | nOfPuts: 14
size: 31100 | nOfPuts: 17
size: 31200 | nOfPuts: 18
size: 31300 | nOfPuts: 18
size: 31400 | nOfPuts: 17
size: 31500 | nOfPuts: 16
size: 31600 | nOfPuts: 17
size: 31700 | nOfPuts: 15
size: 31800 | nOfPuts: 15
size: 31900 | nOfPuts: 17
size: 32000 | nOfPuts: 16
size: 32100 | nOfPuts: 16
size: 32200 | nOfPuts: 18
size: 32300 | nOfPuts: 16
size: 32400 | nOfPuts: 19
size: 32500 | nOfPuts: 18
size: 32600 | nOfPuts: 15
size: 32700 | nOfPuts: 18
size: 32800 | nOfPuts: 17
size: 32900 | nOfPuts: 17
size: 33000 | nOfPuts: 16
size: 33100 | nOfPuts: 17
size: 33200 | nOfPuts: 17
size: 33300 | nOfPuts: 15
size: 33400 | nOfPuts: 19
size: 33500 | nOfPuts: 18
size: 33600 | nOfPuts: 15
size: 33700 | nOfPuts: 16
size: 33800 | nOfPuts: 14
size: 33900 | nOfPuts: 16
size: 34000 | nOfPuts: 17
size: 34100 | nOfPuts: 15
size: 34200 | nOfPuts: 16
size: 34300 | nOfPuts: 17
size: 34400 | nOfPuts: 17
size: 34500 | nOfPuts: 18
size: 34600 | nOfPuts: 15
size: 34700 | nOfPuts: 16
size: 34800 | nOfPuts: 17
size: 34900 | nOfPuts: 17
size: 35000 | nOfPuts: 18
size: 35100 | nOfPuts: 15
size: 35200 | nOfPuts: 18
size: 35300 | nOfPuts: 17
size: 35400 | nOfPuts: 15
size: 35500 | nOfPuts: 17
size: 35600 | nOfPuts: 17
size: 35700 | nOfPuts: 17
size: 35800 | nOfPuts: 17
size: 35900 | nOfPuts: 17
size: 36000 | nOfPuts: 17
size: 36100 | nOfPuts: 15
size: 36200 | nOfPuts: 15
size: 36300 | nOfPuts: 16
size: 36400 | nOfPuts: 15
size: 36500 | nOfPuts: 16
size: 36600 | nOfPuts: 15
size: 36700 | nOfPuts: 17
size: 36800 | nOfPuts: 19
size: 36900 | nOfPuts: 18
size: 37000 | nOfPuts: 17
size: 37100 | nOfPuts: 18
size: 37200 | nOfPuts: 15
size: 37300 | nOfPuts: 16
size: 37400 | nOfPuts: 19
size: 37500 | nOfPuts: 15
size: 37600 | nOfPuts: 18
size: 37700 | nOfPuts: 17
size: 37800 | nOfPuts: 17
size: 37900 | nOfPuts: 19
size: 38000 | nOfPuts: 17
size: 38100 | nOfPuts: 17
size: 38200 | nOfPuts: 16
size: 38300 | nOfPuts: 16
size: 38400 | nOfPuts: 16
size: 38500 | nOfPuts: 15
size: 38600 | nOfPuts: 16
size: 38700 | nOfPuts: 16
size: 38800 | nOfPuts: 18
size: 38900 | nOfPuts: 17
size: 39000 | nOfPuts: 17
size: 39100 | nOfPuts: 18
size: 39200 | nOfPuts: 19
size: 39300 | nOfPuts: 18
size: 39400 | nOfPuts: 20
size: 39500 | nOfPuts: 16
size: 39600 | nOfPuts: 15
size: 39700 | nOfPuts: 18
size: 39800 | nOfPuts: 18
size: 39900 | nOfPuts: 16
size: 40000 | nOfPuts: 18
size: 40100 | nOfPuts: 17
size: 40200 | nOfPuts: 17
size: 40300 | nOfPuts: 19
size: 40400 | nOfPuts: 18
size: 40500 | nOfPuts: 15
size: 40600 | nOfPuts: 17
size: 40700 | nOfPuts: 16
size: 40800 | nOfPuts: 19
size: 40900 | nOfPuts: 16
size: 41000 | nOfPuts: 17
size: 41100 | nOfPuts: 17
size: 41200 | nOfPuts: 20
size: 41300 | nOfPuts: 16
size: 41400 | nOfPuts: 14
size: 41500 | nOfPuts: 17
size: 41600 | nOfPuts: 15
size: 41700 | nOfPuts: 17
size: 41800 | nOfPuts: 21
size: 41900 | nOfPuts: 15
size: 42000 | nOfPuts: 15
size: 42100 | nOfPuts: 16
size: 42200 | nOfPuts: 17
size: 42300 | nOfPuts: 16
size: 42400 | nOfPuts: 15
size: 42500 | nOfPuts: 18
size: 42600 | nOfPuts: 16
size: 42700 | nOfPuts: 19
size: 42800 | nOfPuts: 17
size: 42900 | nOfPuts: 17
size: 43000 | nOfPuts: 17
size: 43100 | nOfPuts: 16
size: 43200 | nOfPuts: 18
size: 43300 | nOfPuts: 16
size: 43400 | nOfPuts: 16
size: 43500 | nOfPuts: 17
size: 43600 | nOfPuts: 18
size: 43700 | nOfPuts: 18
size: 43800 | nOfPuts: 14
size: 43900 | nOfPuts: 18
size: 44000 | nOfPuts: 17
size: 44100 | nOfPuts: 20
size: 44200 | nOfPuts: 20
size: 44300 | nOfPuts: 19
size: 44400 | nOfPuts: 18
size: 44500 | nOfPuts: 19
size: 44600 | nOfPuts: 16
size: 44700 | nOfPuts: 15
size: 44800 | nOfPuts: 15
size: 44900 | nOfPuts: 17
size: 45000 | nOfPuts: 16
size: 45100 | nOfPuts: 19
size: 45200 | nOfPuts: 18
size: 45300 | nOfPuts: 18
size: 45400 | nOfPuts: 17
size: 45500 | nOfPuts: 15
size: 45600 | nOfPuts: 17
size: 45700 | nOfPuts: 17
size: 45800 | nOfPuts: 15
size: 45900 | nOfPuts: 16
size: 46000 | nOfPuts: 18
size: 46100 | nOfPuts: 20
size: 46200 | nOfPuts: 19
size: 46300 | nOfPuts: 21
size: 46400 | nOfPuts: 18
size: 46500 | nOfPuts: 20
size: 46600 | nOfPuts: 18
size: 46700 | nOfPuts: 16
size: 46800 | nOfPuts: 18
size: 46900 | nOfPuts: 19
size: 47000 | nOfPuts: 15
size: 47100 | nOfPuts: 17
size: 47200 | nOfPuts: 18
size: 47300 | nOfPuts: 17
size: 47400 | nOfPuts: 20
size: 47500 | nOfPuts: 18
size: 47600 | nOfPuts: 16
size: 47700 | nOfPuts: 18
size: 47800 | nOfPuts: 19
size: 47900 | nOfPuts: 17
size: 48000 | nOfPuts: 18
size: 48100 | nOfPuts: 18
size: 48200 | nOfPuts: 18
size: 48300 | nOfPuts: 15
size: 48400 | nOfPuts: 18
size: 48500 | nOfPuts: 18
size: 48600 | nOfPuts: 17
size: 48700 | nOfPuts: 16
size: 48800 | nOfPuts: 20
size: 48900 | nOfPuts: 16
size: 49000 | nOfPuts: 15
size: 49100 | nOfPuts: 18
size: 49200 | nOfPuts: 17
size: 49300 | nOfPuts: 16
size: 49400 | nOfPuts: 17
size: 49500 | nOfPuts: 21
size: 49600 | nOfPuts: 20
size: 49700 | nOfPuts: 18
size: 49800 | nOfPuts: 19
size: 49900 | nOfPuts: 17
size: 50000 | nOfPuts: 18
size: 50100 | nOfPuts: 14
size: 50200 | nOfPuts: 16
size: 50300 | nOfPuts: 19
size: 50400 | nOfPuts: 17
size: 50500 | nOfPuts: 18
size: 50600 | nOfPuts: 20
size: 50700 | nOfPuts: 18
size: 50800 | nOfPuts: 19
size: 50900 | nOfPuts: 17
size: 51000 | nOfPuts: 18
size: 51100 | nOfPuts: 17
size: 51200 | nOfPuts: 16
size: 51300 | nOfPuts: 19
size: 51400 | nOfPuts: 19
size: 51500 | nOfPuts: 17
size: 51600 | nOfPuts: 18
size: 51700 | nOfPuts: 16
size: 51800 | nOfPuts: 20
size: 51900 | nOfPuts: 16
size: 52000 | nOfPuts: 17
size: 52100 | nOfPuts: 17
size: 52200 | nOfPuts: 18
size: 52300 | nOfPuts: 19
size: 52400 | nOfPuts: 19
size: 52500 | nOfPuts: 20
size: 52600 | nOfPuts: 18
size: 52700 | nOfPuts: 17
size: 52800 | nOfPuts: 18
size: 52900 | nOfPuts: 17
size: 53000 | nOfPuts: 18
size: 53100 | nOfPuts: 18
size: 53200 | nOfPuts: 18
size: 53300 | nOfPuts: 18
size: 53400 | nOfPuts: 17
size: 53500 | nOfPuts: 16
size: 53600 | nOfPuts: 16
size: 53700 | nOfPuts: 17
size: 53800 | nOfPuts: 18
size: 53900 | nOfPuts: 16
size: 54000 | nOfPuts: 16
size: 54100 | nOfPuts: 17
size: 54200 | nOfPuts: 16
size: 54300 | nOfPuts: 15
size: 54400 | nOfPuts: 17
size: 54500 | nOfPuts: 18
size: 54600 | nOfPuts: 19
size: 54700 | nOfPuts: 17
size: 54800 | nOfPuts: 21
size: 54900 | nOfPuts: 16
size: 55000 | nOfPuts: 16
size: 55100 | nOfPuts: 18
size: 55200 | nOfPuts: 17
size: 55300 | nOfPuts: 17
size: 55400 | nOfPuts: 18
size: 55500 | nOfPuts: 18
size: 55600 | nOfPuts: 17
size: 55700 | nOfPuts: 17
size: 55800 | nOfPuts: 17
size: 55900 | nOfPuts: 16
size: 56000 | nOfPuts: 19
size: 56100 | nOfPuts: 18
size: 56200 | nOfPuts: 18
size: 56300 | nOfPuts: 18
size: 56400 | nOfPuts: 19
size: 56500 | nOfPuts: 15
size: 56600 | nOfPuts: 17
size: 56700 | nOfPuts: 20
size: 56800 | nOfPuts: 17
